"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Population of one race:"," !!Total:!!Population of one race:!!White alone"," !!Total:!!Population of one race:!!Black or African American alone"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"," !!Total:!!Population of one race:!!Asian alone"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Population of one race:!!Some Other Race alone"," !!Total:!!Population of two or more races:"," !!Total:!!Population of two or more races:!!Population of two races:"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of six races:"," !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"0500000US13001","Appling County, Georgia","18444","17737","13071","3387","91","128","1","1059","707","667","217","124","26","6","268","14","3","0","0","2","0","6","1","0","0","29","10","2","0","0","2","1","3","0","8","0","0","0","0","0","0","3","0","0","0","0","11","0","3","2","4","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"0500000US13003","Atkinson County, Georgia","8286","7613","5280","1213","64","13","4","1039","673","635","37","72","10","4","494","11","2","1","0","0","0","0","0","3","1","27","0","2","0","2","1","0","6","2","8","0","5","0","0","0","0","0","0","0","0","1","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0"
"0500000US13005","Bacon County, Georgia","11140","10643","8251","1763","14","40","4","571","497","473","173","96","8","0","177","10","6","0","3","0","0","0","0","0","0","18","0","1","0","2","0","0","8","0","1","0","0","0","1","4","0","1","0","0","0","0","6","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13007","Baker County, Georgia","2876","2758","1536","1130","1","18","0","73","118","86","12","13","7","0","31","4","7","1","11","0","0","0","0","0","0","18","1","0","0","1","9","0","3","0","0","2","2","0","0","0","0","0","0","0","0","0","12","2","0","4","0","0","0","1","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","2","2"
"0500000US13009","Baldwin County, Georgia","43799","42439","22655","18404","83","599","28","670","1360","1271","407","301","88","4","362","47","14","2","38","0","1","3","1","2","1","79","28","6","8","22","2","0","3","8","2","0","0","0","0","0","0","0","0","0","0","0","8","0","4","1","2","0","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"0500000US13011","Banks County, Georgia","18035","17053","15838","395","103","190","14","513","982","943","150","318","39","0","414","0","4","2","8","1","0","3","4","0","0","28","12","1","4","4","4","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","11","2","0","4","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13013","Barrow County, Georgia","83505","76740","57644","10369","405","3274","23","5025","6765","6447","1002","1351","368","35","3216","61","53","12","202","15","1","63","21","34","13","296","102","18","0","47","3","1","74","14","15","0","1","0","5","10","4","1","0","0","1","0","18","2","1","7","0","3","2","1","0","0","1","0","0","0","1","0","4","3","0","0","0","0","1","0","0"
"0500000US13015","Bartow County, Georgia","108901","100984","82391","11512","481","1186","44","5370","7917","7525","1358","2272","329","40","3133","78","51","6","151","0","0","72","17","16","2","337","114","18","5","48","20","8","100","0","14","0","3","0","5","2","0","0","0","0","0","0","47","5","0","28","0","3","0","3","5","3","0","0","0","0","0","0","6","0","6","0","0","0","0","2","2"
"0500000US13017","Ben Hill County, Georgia","17194","16434","9432","6267","70","119","0","546","760","713","202","165","25","0","273","27","1","1","12","0","0","0","0","0","7","47","9","0","2","5","2","1","9","0","3","5","7","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13019","Berrien County, Georgia","18160","17204","14643","1954","37","80","10","480","956","913","174","288","43","0","356","21","0","0","21","1","0","1","4","2","2","40","20","0","2","1","0","4","1","8","2","0","0","0","1","1","0","0","0","0","0","0","3","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13021","Bibb County, Georgia","157346","151075","57778","85885","373","3251","53","3735","6271","5873","1743","919","400","34","1739","390","155","18","349","20","0","34","20","45","7","338","149","40","2","47","17","0","17","13","11","6","4","0","16","4","10","2","0","0","0","0","51","8","2","28","1","5","0","0","7","0","0","0","0","0","0","0","9","2","1","0","0","2","4","0","0"
"0500000US13023","Bleckley County, Georgia","12583","12216","9016","2818","20","154","8","200","367","327","92","85","31","0","98","2","1","0","11","0","0","0","0","0","7","30","7","3","1","5","3","3","6","1","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13025","Brantley County, Georgia","18021","17226","16427","568","57","42","3","129","795","771","120","409","33","0","171","7","5","6","15","1","0","2","1","1","0","17","1","2","0","0","0","0","2","0","0","0","0","0","0","4","0","0","8","0","0","0","6","0","0","1","0","0","0","1","0","0","1","2","1","0","0","0","1","0","0","0","1","0","0","0","0"
"0500000US13027","Brooks County, Georgia","16301","15600","9307","5714","50","67","6","456","701","652","170","173","19","0","248","17","5","0","19","0","1","0","0","0","0","39","13","4","0","5","8","3","0","0","0","0","0","0","2","0","0","2","2","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0"
"0500000US13029","Bryan County, Georgia","44738","40943","32217","6486","140","1060","53","987","3795","3508","626","816","497","57","1284","39","34","1","111","4","0","0","17","16","6","258","50","19","5","51","26","0","29","44","17","0","2","0","7","3","0","0","3","0","0","2","25","12","1","6","0","5","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","3"
"0500000US13031","Bulloch County, Georgia","81099","77243","50718","23052","225","1303","71","1874","3856","3645","898","881","292","45","1150","100","39","7","119","16","0","18","17","62","1","185","65","20","0","48","19","11","10","0","1","2","2","0","4","3","0","0","0","0","0","0","20","1","0","7","0","5","0","7","0","0","0","0","0","0","0","0","6","0","5","0","0","1","0","0","0"
"0500000US13033","Burke County, Georgia","24596","23690","12166","11027","58","97","13","329","906","851","293","218","49","5","213","33","3","4","23","3","1","0","1","3","2","41","15","6","1","1","2","2","1","0","3","0","5","0","0","4","0","1","0","0","0","0","14","5","2","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13035","Butts County, Georgia","25434","24242","16823","6832","39","107","9","432","1192","1126","254","376","63","6","331","37","4","0","32","7","0","8","0","8","0","53","25","7","1","6","1","0","8","2","2","0","0","0","0","1","0","0","0","0","0","0","12","2","0","8","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0"
"0500000US13037","Calhoun County, Georgia","5573","5493","1783","3581","8","19","0","102","80","67","25","20","0","0","5","9","6","0","0","0","2","0","0","0","0","11","2","2","0","2","2","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13039","Camden County, Georgia","54768","50464","38371","9697","261","882","77","1176","4304","4004","912","1042","441","46","1231","78","60","12","124","5","1","14","22","10","6","263","89","20","5","21","23","8","39","23","11","3","2","0","9","9","0","0","0","0","0","1","26","10","0","7","0","6","0","0","1","0","2","0","0","0","0","0","9","0","8","0","1","0","0","2","2"
"0500000US13043","Candler County, Georgia","10981","10372","6768","2695","30","65","3","811","609","567","74","111","5","1","345","5","0","0","13","0","2","2","0","9","0","35","8","0","0","0","3","3","10","0","6","0","0","0","4","1","0","0","0","0","0","0","7","0","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0500000US13045","Carroll County, Georgia","119148","111334","82566","22126","520","1121","23","4978","7814","7418","1847","1925","386","35","2757","110","50","5","223","0","0","43","9","19","9","361","147","27","7","44","15","1","87","4","9","8","0","0","0","9","3","0","0","0","0","0","32","7","3","7","0","0","0","9","6","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0"
"0500000US13047","Catoosa County, Georgia","67872","64020","59903","1858","244","1035","85","895","3852","3716","658","1651","225","28","1065","18","10","0","35","7","1","10","8","0","0","121","32","4","8","12","0","11","24","11","14","0","0","0","0","0","0","0","2","3","0","0","11","1","2","0","0","0","0","7","1","0","0","0","0","0","0","0","4","2","1","0","0","0","1","0","0"
"0500000US13049","Charlton County, Georgia","12518","12070","8745","2627","47","116","2","533","448","401","105","143","20","4","91","19","6","0","4","5","0","4","0","0","0","35","7","14","2","3","0","0","5","3","0","0","0","0","0","0","0","0","1","0","0","0","11","4","0","0","6","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"0500000US13051","Chatham County, Georgia","295291","277057","143891","109313","1079","10709","456","11609","18234","16941","3493","2563","1822","143","6903","635","293","56","739","18","4","139","70","51","12","1175","414","140","22","177","75","5","169","56","53","0","10","0","40","10","1","2","1","0","0","0","110","31","2","52","7","1","0","0","4","0","0","5","0","0","7","1","8","7","1","0","0","0","0","0","0"
"0500000US13053","Chattahoochee County, Georgia","9565","8525","5965","1511","46","306","111","586","1040","943","142","133","129","11","378","23","14","4","79","4","0","0","22","1","3","82","28","0","0","5","5","0","11","26","2","0","1","4","0","0","0","0","0","0","0","0","13","0","0","7","0","2","0","0","1","0","0","0","2","0","1","0","2","0","0","0","2","0","0","0","0"
"0500000US13055","Chattooga County, Georgia","24965","23761","20293","2408","98","102","0","860","1204","1135","399","420","16","2","272","7","4","2","4","0","0","0","0","0","9","54","15","0","0","5","0","12","13","0","3","0","0","4","0","0","2","0","0","0","0","0","11","5","1","5","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0"
"0500000US13057","Cherokee County, Georgia","266620","242028","204670","17785","1343","5497","117","12616","24592","23512","2471","4442","1993","106","13250","201","152","9","503","18","6","223","34","80","24","1000","236","86","5","148","117","6","259","47","76","0","1","0","14","3","0","1","0","0","1","0","70","14","1","35","5","7","0","0","4","0","0","0","1","3","0","0","10","1","3","0","1","4","1","0","0"
"0500000US13059","Clarke County, Georgia","128671","120054","74925","31660","580","4954","86","7849","8617","8247","1284","1084","1024","63","4176","200","67","7","213","8","5","57","19","32","8","320","95","52","0","48","10","5","81","18","4","0","1","0","2","0","2","0","0","0","2","0","40","6","0","21","0","0","3","6","0","2","0","0","2","0","0","0","4","0","3","0","0","1","0","6","6"
"0500000US13061","Clay County, Georgia","2848","2763","1151","1597","1","6","0","8","85","68","19","13","5","1","13","4","0","1","1","5","0","1","3","1","1","6","3","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","10","5","0","2","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"0500000US13063","Clayton County, Georgia","297595","280614","30505","207981","1991","13640","178","26319","16981","15671","3223","838","284","30","6634","1176","614","91","2175","31","12","390","38","102","33","1160","547","111","12","204","16","1","176","13","10","0","15","0","21","17","13","4","0","0","0","0","147","67","2","66","5","3","1","1","0","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0"
"0500000US13065","Clinch County, Georgia","6749","6483","4309","1965","30","23","14","142","266","233","94","61","3","1","41","17","0","0","6","3","0","3","4","0","0","25","5","0","0","2","0","0","0","9","0","1","0","0","2","0","3","0","0","3","0","0","8","2","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13067","Cobb County, Georgia","766149","693000","387625","203840","4260","42810","395","54070","73149","68698","9571","6590","5648","209","38881","1619","1200","140","3562","61","18","699","117","340","43","4025","1249","417","32","857","167","7","735","92","236","8","31","19","89","16","66","0","0","3","0","1","384","102","13","228","2","25","0","2","6","0","6","0","0","0","0","0","36","22","9","1","0","4","0","6","6"
"0500000US13069","Coffee County, Georgia","43092","40920","25437","11972","210","301","26","2974","2172","2080","435","418","78","19","989","62","7","6","37","0","0","25","2","2","0","68","22","3","0","9","8","0","20","1","4","0","0","1","0","0","0","0","0","0","0","0","14","0","0","8","0","3","0","0","3","0","0","0","0","0","0","0","10","9","1","0","0","0","0","0","0"
"0500000US13071","Colquitt County, Georgia","45898","42927","27248","10068","400","388","15","4808","2971","2882","425","326","71","14","1883","43","9","0","50","5","0","51","0","4","1","76","16","3","6","8","8","0","17","4","4","0","4","0","5","0","0","0","0","0","1","0","13","5","0","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
