,County,2016 Quantity,2018 Quantity,2020 Quantity,Delta 18-20,Delta 16-18,Delta 16-20
0,Fulton,364,382,394,12,18,30
1,Dekalb,191,191,193,2,0,2
2,Gwinnett,156,156,156,0,0,0
3,Cobb,145,141,145,4,-4,0
4,Chatham,89,90,92,2,1,3
5,Richmond,69,68,68,0,-1,-1
6,Clayton,58,58,65,7,0,7
7,Columbia,46,46,47,1,0,1
8,Cherokee,42,42,42,0,0,0
9,Henry,38,37,37,0,-1,-1
10,Fayette,36,36,36,0,0,0
11,Bibb,32,31,31,0,-1,-1
12,Hall,31,31,31,0,0,0
13,Carroll,30,28,28,0,-2,-2
14,Dougherty,28,28,28,0,0,0
15,Coweta,28,27,26,-1,-1,-2
16,Muscogee,27,25,25,0,-2,-2
17,Floyd,25,25,25,0,0,0
18,Douglas,25,25,25,0,0,0
19,Clarke,24,24,24,0,0,0
20,Whitfield,23,23,23,0,0,0
21,Newton,22,22,22,0,0,0
22,Walton,21,21,21,0,0,0
23,Spalding,21,20,20,0,-1,-1
24,Thomas,20,20,20,0,0,0
25,Glynn,20,20,20,0,0,0
26,Colquitt,19,19,19,0,0,0
27,Rockdale,18,16,16,0,-2,-2
28,Houston,17,17,17,0,0,0
29,Laurens,17,16,16,0,-1,-1
30,Bartow,17,16,17,1,-1,0
31,Effingham,17,17,17,0,0,0
32,Forsyth,16,16,20,4,0,4
33,Jackson,16,4,4,0,-12,-12
34,Dodge,16,16,16,0,0,0
35,Burke,16,16,16,0,0,0
36,Bulloch,16,16,16,0,0,0
37,Barrow,16,16,8,-8,0,-8
38,Troup,16,15,14,-1,-1,-2
39,Wayne,15,12,12,0,-3,-3
40,Worth,15,15,15,0,0,0
41,Meriwether,14,14,14,0,0,0
42,Monroe,14,14,14,0,0,0
43,Paulding,14,12,19,7,-2,5
44,Appling,14,9,9,0,-5,-5
45,Camden,14,14,14,0,0,0
46,Baldwin,14,14,14,0,0,0
47,Banks,13,13,13,0,0,0
48,Gilmer,13,13,13,0,0,0
49,Oconee,13,13,12,-1,0,-1
50,Chattooga,13,13,13,0,0,0
51,Liberty,13,13,13,0,0,0
52,Grady,13,13,13,0,0,0
53,Gordon,13,13,13,0,0,0
54,Screven,12,12,12,0,0,0
55,Haralson,12,12,12,0,0,0
56,Tift,12,12,12,0,0,0
57,Harris,12,12,12,0,0,0
58,Pickens,12,12,12,0,0,0
59,Ware,12,12,12,0,0,0
60,Fannin,12,12,12,0,0,0
61,Madison,12,12,12,0,0,0
62,Elbert,11,11,11,0,0,0
63,Mitchell,11,11,11,0,0,0
64,Early,11,8,8,0,-3,-3
65,Sumter,11,11,11,0,0,0
66,White,11,11,11,0,0,0
67,Walker,11,11,11,0,0,0
68,Union,11,11,11,0,0,0
69,Emanuel,11,11,11,0,0,0
70,Catoosa,11,11,11,0,0,0
71,Hancock,10,10,10,0,0,0
72,Bryan,10,10,10,0,0,0
73,Jones,10,10,10,0,0,0
74,Lee,10,10,10,0,0,0
75,Decatur,9,9,9,0,0,0
76,Lowndes,9,9,13,4,0,4
77,Jeff Davis,9,9,9,0,0,0
78,Mcduffie,9,11,9,-2,2,0
79,Wilkinson,9,9,9,0,0,0
80,Randolph,9,9,6,-3,0,-3
81,Jefferson,8,8,8,0,0,0
82,Pierce,8,8,8,0,0,0
83,Irwin,8,3,3,0,-5,-5
84,Charlton,8,8,8,0,0,0
85,Pike,8,8,8,0,0,0
86,Tattnall,8,8,8,0,0,0
87,Greene,8,5,5,0,-3,-3
88,Washington,8,8,8,0,0,0
89,Cook,8,8,8,0,0,0
90,Morgan,7,7,7,0,0,0
91,Wilkes,7,7,7,0,0,0
92,Polk,7,7,7,0,0,0
93,Murray,7,7,7,0,0,0
94,Brooks,7,7,7,0,0,0
95,Peach,7,7,7,0,0,0
96,Talbot,7,7,7,0,0,0
97,Montgomery,7,7,7,0,0,0
98,Hart,7,7,7,0,0,0
99,Dade,7,7,7,0,0,0
100,Franklin,7,7,7,0,0,0
101,Long,7,7,7,0,0,0
102,Lincoln,7,7,7,0,0,0
103,Habersham,7,7,7,0,0,0
104,Heard,6,6,6,0,0,0
105,Wilcox,6,6,6,0,0,0
106,Crawford,6,6,6,0,0,0
107,Coffee,6,6,6,0,0,0
108,Terrell,6,6,6,0,0,0
109,Telfair,6,6,6,0,0,0
110,Mcintosh,6,6,6,0,0,0
111,Candler,6,6,4,-2,0,-2
112,Lamar,6,6,6,0,0,0
113,Dooly,5,5,5,0,0,0
114,Jenkins,5,5,5,0,0,0
115,Clinch,5,5,5,0,0,0
116,Toombs,5,5,5,0,0,0
117,Berrien,5,5,5,0,0,0
118,Seminole,5,5,5,0,0,0
119,Twiggs,5,5,5,0,0,0
120,Butts,5,1,1,0,-4,-4
121,Macon,5,5,5,0,0,0
122,Crisp,5,5,5,0,0,0
123,Baker,5,5,5,0,0,0
124,Putnam,5,5,5,0,0,0
125,Calhoun,5,5,5,0,0,0
126,Bacon,5,1,1,0,-4,-4
127,Marion,5,5,5,0,0,0
128,Clay,5,5,5,0,0,0
129,Upson,4,4,4,0,0,0
130,Glascock,4,4,4,0,0,0
131,Towns,4,4,3,-1,0,-1
132,Johnson,4,4,4,0,0,0
133,Lanier,4,1,1,0,-3,-3
134,Atkinson,4,4,4,0,0,0
135,Stewart,4,4,4,0,0,0
136,Oglethorpe,3,3,3,0,0,0
137,Taylor,3,3,3,0,0,0
138,Dawson,3,3,3,0,0,0
139,Jasper,3,3,3,0,0,0
140,Pulaski,3,3,1,-2,0,-2
141,Turner,3,3,3,0,0,0
142,Brantley,3,3,3,0,0,0
143,Wheeler,2,2,2,0,0,0
144,Quitman,2,2,2,0,0,0
145,Ben Hill,2,2,2,0,0,0
146,Treutlen,2,2,2,0,0,0
147,Taliaferro,2,2,2,0,0,0
148,Lumpkin,1,1,1,0,0,0
149,Rabun,1,1,1,0,0,0
150,Warren,1,1,1,0,0,0
151,Evans,1,1,1,0,0,0
152,Bleckley,1,1,1,0,0,0
153,Webster,1,1,1,0,0,0
154,Schley,1,1,1,0,0,0
155,Stephens,1,1,1,0,0,0
156,Miller,1,1,1,0,0,0
157,Echols,1,1,1,0,0,0
158,Chattahoochee,1,1,1,0,0,0
